instrument; direction; t0; take placement stock price; t1; close placement stock price; is closed ?; EXTRA VALUE ...;
AMC;bearish;1611928500;13.48;1611946500;11.991299629211426;true;fiability:1;
AMC;bearish;1611951000;13.580100059509277;1611968100;13.46;false;fiability:1;
NAKD;bullish;1611925800;1.63;1611928800;2.0898;true;fiability:1;
NAKD;bearish;1611929100;2.06;1611946200;1.5700000524520874;true;fiability:1;
NAKD;bearish;1611951000;1.6312999725341797;1611968100;1.63;false;fiability:1;
NOK;bearish;1611920400;5;1611942000;4.735000133514404;true;fiability:1;
NOK;bullish;1611942300;4.618500232696533;1611968100;4.62;false;fiability:1;
CTRM;bearish;1611923400;0.7291;1611968100;0.6083;false;fiability:1;
CATB;bearish;1611932400;4.479400157928467;1611968100;3.95;false;fiability:1;
AAPL;bearish;1611917400;135.8;1611936600;132.28500366210938;true;fiability:1;
AAPL;bullish;1611937500;132.1999969482422;1611968100;131.7799;false;fiability:1;
UVXY;bearish;1611915300;14.42;1611933600;12.801199913024902;true;fiability:1;
UVXY;bearish;1611936900;13.579999923706055;1611968100;14.74;false;fiability:1;
SPY;bearish;1611917700;374.18;1611940500;371.2099914550781;true;fiability:1;
SPY;bullish;1611940800;370.6400146484375;1611968100;369.33;false;fiability:1;
VXX;bearish;1611915900;20.83;1611933600;19.209999084472656;true;fiability:1;
VXX;bearish;1611936900;19.985000610351562;1611968100;21.15;false;fiability:1;
SLV;bearish;1611915900;25.1;1611942300;24.800100326538086;true;fiability:1;
SLV;bearish;1611946800;25.24959945678711;1611968100;25.29;false;fiability:1;
AAL;bearish;1611915900;20.98;1611931200;17.84000015258789;true;fiability:1;
AAL;bullish;1611931500;17.83989906311035;1611968100;16.94;false;fiability:1;
SQQQ;bearish;1611915300;14.57;1611927600;13.99;true;fiability:1;
SQQQ;bullish;1611927900;13.93;1611941700;14.779999732971191;true;fiability:1;
SQQQ;bearish;1611942000;14.795000076293945;1611968100;14.83;false;fiability:1;
GE;bullish;1611915900;10.98;1611922500;11.12;true;fiability:1;
GE;bearish;1611922800;11.11;1611925800;10.9;true;fiability:1;
GE;bullish;1611926100;10.85;1611968100;10.7;false;fiability:1;
LMFA;bearish;1611915300;2.08;1611968100;2.02;false;fiability:1;
BB;bearish;1611921300;17.35;1611941700;15.100099563598633;true;fiability:1;
BB;bullish;1611942000;15.029999732971191;1611968100;14.04;false;fiability:1;
GTE;bearish;1611917700;0.5893;1611942000;0.6013000011444092;true;fiability:1;
GTE;bullish;1611942300;0.5910000205039978;1611968100;0.618;false;fiability:1;
TRX;bearish;1611925200;0.78;1611968100;0.795;false;fiability:1;
NAK;bearish;1611915300;0.67;1611941700;0.5751000046730042;true;fiability:1;
NAK;bearish;1611951900;0.5780959725379944;1611968100;0.58;false;fiability:1;
NIO;bearish;1611919200;58.23;1611941400;57.93000030517578;true;fiability:1;
NIO;bullish;1611941700;57.521400451660156;1611968100;57.25;false;fiability:1;
XLF;bearish;1611920400;29.41;1611941700;28.979999542236328;true;fiability:1;
XLF;bullish;1611942300;28.8799991607666;1611968100;28.96;false;fiability:1;
SOS;bearish;1611921000;2.86;1611968100;2.95;false;fiability:1;
GNUS;bearish;1611939300;2.0950000286102295;1611968100;1.83;false;fiability:1;
F;bearish;1611919200;10.63;1611941400;10.550000190734863;true;fiability:1;
F;bullish;1611941700;10.510100364685059;1611968100;10.5;false;fiability:1;
PHUN;bearish;1611920100;1.74;1611968100;2.82;false;fiability:1;
ZOM;bearish;1611916200;0.941;1611968100;0.9299;false;fiability:1;
BAC;bearish;1611920400;30.26;1611941700;29.799999237060547;true;fiability:1;
BAC;bullish;1611942000;29.774999618530273;1611968100;29.63;false;fiability:1;
